지역번호,지역명,일시,평균일강수량(mm),최다일강수량(mm),최다강수량지점,1시간최다강수량(mm),1시간최다강수량지점
1,서울경기,2018-01-01,0,,,,,
1,서울경기,2017-12-31,0.4,1.5,이천,,,
1,서울경기,2017-12-30,1.5,3.3,수원,,,
1,서울경기,2017-12-29,0,0,백령도,서울,인천,,,
1,서울경기,2017-12-28,0,0,백령도,서울,인천,수원,,,
1,서울경기,2017-12-27,0,,,,,
1,서울경기,2017-12-26,0,0,백령도,수원,,,
1,서울경기,2017-12-25,0,0,백령도,인천,수원,,,
1,서울경기,2017-12-24,17.5,21,인천,,,
1,서울경기,2017-12-23,0,,,,,
1,서울경기,2017-12-22,0,,,,,
1,서울경기,2017-12-21,0,,,,,
1,서울경기,2017-12-20,0.6,2.2,파주,,,
1,서울경기,2017-12-19,0,0,백령도,양평,이천,,,
1,서울경기,2017-12-18,2,3.4,서울,,,
1,서울경기,2017-12-17,0,0.6,백령도,,,
1,서울경기,2017-12-16,0,1.5,백령도,,,
1,서울경기,2017-12-15,0.1,1.3,백령도,,,
1,서울경기,2017-12-14,0,,,,,
1,서울경기,2017-12-13,0,,,,,
1,서울경기,2017-12-12,0,0.5,백령도,,,
1,서울경기,2017-12-11,0,0.3,백령도,,,
1,서울경기,2017-12-10,6.2,10.7,동두천,,,
1,서울경기,2017-12-09,0,0,백령도,인천,,,
1,서울경기,2017-12-08,0,2,백령도,,,
1,서울경기,2017-12-07,0.1,0.9,이천,,,
1,서울경기,2017-12-06,2.1,5.5,백령도,,,
1,서울경기,2017-12-05,0.2,1.3,백령도,,,
1,서울경기,2017-12-04,0.1,0.5,양평,이천,,,
1,서울경기,2017-12-03,4.1,5.7,인천,,,
1,서울경기,2017-12-02,0.1,0.5,강화,,,
1,서울경기,2017-12-01,0.1,0.2,인천,,,
1,서울경기,2017-11-30,0,,,,,
1,서울경기,2017-11-29,0,0.2,양평,,,
1,서울경기,2017-11-28,0.3,2.1,백령도,,,
1,서울경기,2017-11-27,0,,,,,
1,서울경기,2017-11-26,0.1,1,이천,,,
1,서울경기,2017-11-25,17.9,33.5,인천,,,
1,서울경기,2017-11-24,0.6,1.6,이천,,,
1,서울경기,2017-11-23,1.6,2,강화,,,
1,서울경기,2017-11-22,1,2,강화,,,
1,서울경기,2017-11-21,0,,,,,
1,서울경기,2017-11-20,0.3,0.7,수원,,,
1,서울경기,2017-11-19,0,0.2,백령도,,,
1,서울경기,2017-11-18,0,0,백령도,,,
1,서울경기,2017-11-17,0.1,0.2,수원,,,
1,서울경기,2017-11-16,0,,,,,
1,서울경기,2017-11-15,0.1,0.2,수원,,,
1,서울경기,2017-11-14,0,0,이천,,,
1,서울경기,2017-11-13,3.1,7.8,수원,,,
1,서울경기,2017-11-12,0,,,,,
1,서울경기,2017-11-11,0,,,,,
1,서울경기,2017-11-10,7,9.6,수원,,,
1,서울경기,2017-11-09,0,,,,,
1,서울경기,2017-11-08,0.1,0.2,수원,,,
1,서울경기,2017-11-07,0,0,파주,백령도,서울,수원,,,
1,서울경기,2017-11-06,0,,,,,
1,서울경기,2017-11-05,0,,,,,
1,서울경기,2017-11-04,0,,,,,
1,서울경기,2017-11-03,1.4,4.3,동두천,,,
1,서울경기,2017-11-02,0.4,1.3,동두천,,,
1,서울경기,2017-11-01,0,,,,,
1,서울경기,2017-10-31,0,,,,,
1,서울경기,2017-10-30,0,,,,,
1,서울경기,2017-10-29,0,0,백령도,0,백령도,
1,서울경기,2017-10-28,0,,,,,
1,서울경기,2017-10-27,0,,,,,
1,서울경기,2017-10-26,0,,,,,
1,서울경기,2017-10-25,0,,,,,
1,서울경기,2017-10-24,0,,,,,
1,서울경기,2017-10-23,0,0,백령도,0,백령도,
1,서울경기,2017-10-22,0,,,,,
1,서울경기,2017-10-21,0,,,,,
1,서울경기,2017-10-20,0,,,,,
1,서울경기,2017-10-19,0,0,파주,,,
1,서울경기,2017-10-18,0,0.3,양평,0.2,양평,
1,서울경기,2017-10-17,0,,,,,
1,서울경기,2017-10-16,0,,,,,
1,서울경기,2017-10-15,0,,,,,
1,서울경기,2017-10-14,0,,,,,
1,서울경기,2017-10-13,0,,,,,
1,서울경기,2017-10-12,0.1,0.9,이천,0.3,이천,
1,서울경기,2017-10-11,14.6,20,서울,6,서울,양평,
1,서울경기,2017-10-10,2.6,9.5,강화,6,강화,
1,서울경기,2017-10-09,0,0,백령도,서울,0,백령도,서울,
1,서울경기,2017-10-08,0,0,백령도,0,백령도,
1,서울경기,2017-10-07,0,0.1,동두천,이천,0.1,동두천,이천,
1,서울경기,2017-10-06,0.1,1.5,양평,0.6,양평,
1,서울경기,2017-10-05,0,0,백령도,0,백령도,
1,서울경기,2017-10-04,0,,,,,
1,서울경기,2017-10-03,0,,,,,
1,서울경기,2017-10-02,1.1,3.5,이천,1.5,양평,
1,서울경기,2017-10-01,5.8,10,수원,3.8,동두천,
1,서울경기,2017-09-30,0,,,,,
1,서울경기,2017-09-29,0,,,,,
1,서울경기,2017-09-28,0,,,,,
1,서울경기,2017-09-27,0.6,1.6,이천,0.5,서울,수원,이천,
1,서울경기,2017-09-26,0,0.1,파주,이천,0.1,파주,이천,
1,서울경기,2017-09-25,0,,,,,
1,서울경기,2017-09-24,0,0,파주,백령도,서울,0,파주,백령도,서울,
1,서울경기,2017-09-23,0.1,0.5,강화,0.5,강화,
1,서울경기,2017-09-22,0,,,,,
1,서울경기,2017-09-21,0,,,,,
1,서울경기,2017-09-20,0,,,,,
1,서울경기,2017-09-19,4.2,14.2,이천,11,이천,
1,서울경기,2017-09-18,0,,,,,
1,서울경기,2017-09-17,0,,,,,
1,서울경기,2017-09-16,0,,,,,
1,서울경기,2017-09-15,0,,,,,
1,서울경기,2017-09-14,0,,,,,
1,서울경기,2017-09-13,0,,,,,
1,서울경기,2017-09-12,0,,,,,
1,서울경기,2017-09-11,20.9,25,강화,9,서울,강화,
1,서울경기,2017-09-10,0.2,0.6,백령도,0.6,백령도,
1,서울경기,2017-09-09,0,,,,,
1,서울경기,2017-09-08,0,,,,,
1,서울경기,2017-09-07,0,0,이천,,,
1,서울경기,2017-09-06,1.5,2,서울,1,서울,인천,
1,서울경기,2017-09-05,0,0,파주,백령도,서울,인천,0,파주,백령도,서울,인천,
1,서울경기,2017-09-04,0,,,,,
1,서울경기,2017-09-03,0,,,,,
1,서울경기,2017-09-02,0,,,,,
1,서울경기,2017-09-01,0,,,,,
1,서울경기,2017-08-31,0,,,,,
1,서울경기,2017-08-30,0,,,,,
1,서울경기,2017-08-29,0,,,,,
1,서울경기,2017-08-28,16.7,30.4,수원,27.3,수원,
1,서울경기,2017-08-27,0,0,파주,백령도,서울,인천,0,파주,백령도,서울,인천,
1,서울경기,2017-08-26,0,0.1,양평,,,
1,서울경기,2017-08-25,0,0,파주,0,파주,
1,서울경기,2017-08-24,19.1,48.9,동두천,35,동두천,
1,서울경기,2017-08-23,24.3,48.3,파주,23.2,파주,
1,서울경기,2017-08-22,0,1,양평,1,양평,
1,서울경기,2017-08-21,10,45.4,이천,20.6,수원,
1,서울경기,2017-08-20,104.5,130.8,수원,51.2,수원,
1,서울경기,2017-08-19,5.2,13.7,수원,14.5,수원,
1,서울경기,2017-08-18,0,24,양평,23,양평,
1,서울경기,2017-08-17,2.7,20.4,이천,15.9,이천,
1,서울경기,2017-08-16,4.6,19,파주,13.7,파주,
1,서울경기,2017-08-15,78.6,93.5,서울,35.5,서울,
1,서울경기,2017-08-14,3.9,8,수원,3.5,강화,
1,서울경기,2017-08-13,0,0.1,양평,0.1,양평,
1,서울경기,2017-08-12,0,,,,,
1,서울경기,2017-08-11,10.6,33.8,인천,32.7,인천,
1,서울경기,2017-08-10,5.3,27.5,양평,8,양평,
1,서울경기,2017-08-09,2.4,18.4,이천,13,이천,
1,서울경기,2017-08-08,0,0,수원,이천,0,수원,이천,
1,서울경기,2017-08-07,0,0.7,백령도,0.7,백령도,
1,서울경기,2017-08-06,2.1,7.8,파주,7.8,파주,
1,서울경기,2017-08-05,0,0,동두천,백령도,서울,0,동두천,백령도,서울,
